,sale_date,sale_price,pred_lr,pred_rf
21502,2013-06-21,13.038981768465275,13.332173056900501,13.31912038112934
17536,2013-06-21,13.921670753792664,13.782678499817848,13.734566665507229
21038,2013-06-21,13.426902566922534,13.408447742462158,13.470947211901743
19482,2013-06-21,13.792241931024922,13.453223206102848,13.520690869168742
13268,2013-06-21,14.695137305466838,14.402941435575485,14.42606027584841
1887,2013-06-21,13.795307850646756,13.576346904039383,13.73363108403793
23105,2013-06-21,13.201174557828619,13.184586562216282,12.972493615097472
7101,2013-06-21,14.375126345899696,14.201680578291416,14.194848346100143
5193,2013-06-21,13.803437976730006,13.74196421355009,13.65715184381101
13863,2013-06-21,14.244040939003437,13.931566931307316,14.138417160513997
22183,2013-06-21,13.122363377404328,12.620560199022293,13.224529902499942
22793,2013-06-21,13.161584090557609,12.993603102862835,12.999549404993186
899,2013-06-21,13.343905647351566,13.256545938551426,13.23116906517859
11158,2013-06-21,13.345506928718539,13.749392487108707,13.43076957971133
5302,2013-06-21,13.726679344257658,13.60632997751236,13.765060296096667
20727,2013-06-21,13.618278388434565,13.217967085540295,13.231753911715098
23279,2013-06-21,14.093142294562554,13.92454194277525,13.869879360306042
9080,2013-06-21,13.38472764187182,13.3666428104043,13.357790813820543
20894,2013-06-21,13.500799813124573,13.598809450864792,13.435534920978336
581,2013-06-21,13.493926933836812,13.612626373767853,13.645293211591603
14608,2013-06-21,14.237504968023648,13.97912521660328,14.283565169671332
8970,2013-06-21,14.375126345899696,13.913379028439522,14.224692075427999
17558,2013-06-21,12.779873068457553,13.285312950611115,13.365977357276215
18890,2013-06-21,13.751505227988362,13.625765420496464,13.584424677536399
23244,2013-06-21,13.049792684569493,13.264753036201,13.03685753906481
16891,2013-06-21,13.467370516475382,13.479551076889038,13.276243527445715
10804,2013-06-23,13.500799813124573,13.579033136367798,13.630773643170656
1937,2013-06-24,13.764217263576725,13.85815205425024,13.788658442017203
13335,2013-06-24,13.865252649859087,13.59377335011959,13.539710693145844
23278,2013-06-24,13.676248490630767,13.52544368058443,13.522585241763434
21587,2013-06-24,13.45008313688764,13.562488913536072,13.637533188364527
12082,2013-06-24,14.349075668699756,14.252523675560951,14.252062065745497
1321,2013-06-24,13.864300722133706,13.942750468850136,13.789111795148441
15520,2013-06-25,14.703401815316733,14.938226595520973,14.949027566661277
16339,2013-06-25,15.300518392020196,15.105333097279072,15.054394156410323
9324,2013-06-25,16.213405830762643,15.802903443574905,16.26030915031081
20672,2013-06-25,14.204168547756055,14.383203148841858,14.199375578621643
1739,2013-06-25,13.641157170819495,13.604625098407269,13.615808273549979
7637,2013-06-25,14.077874822431765,13.86183899641037,14.171634478961176
585,2013-06-25,13.337474757021274,13.241301119327545,13.442152303746242
8096,2013-06-25,13.407542319637992,13.467983670532703,13.44445756884044
9903,2013-06-25,13.337474757021274,13.723511852324009,13.527134907854863
15233,2013-06-25,13.203021280421787,13.144677549600601,13.23994017500359
2875,2013-06-25,13.529160930746274,13.597602896392345,13.564529740641495
16452,2013-06-25,13.61339437384214,13.600728750228882,13.681918516966636
3722,2013-06-25,13.729952669602628,13.779115222394466,13.830634674915334
12571,2013-06-25,13.641157170819495,13.412341356277466,13.467148121488584
6967,2013-06-25,14.263396381956392,14.309219226241112,14.466693612330966
16048,2013-06-26,13.38472764187182,13.118651732802391,13.237790960653081
4629,2013-06-26,13.594863886848652,13.663709670305252,13.71737141834137
11945,2013-06-26,14.220975666072441,14.124420769512653,14.204989582990462
23579,2013-06-26,14.334304351379442,14.505822606384754,14.294501788970777
4110,2013-06-26,13.500799813124573,13.768465012311935,13.671009112939153
20825,2013-06-26,14.207552645740297,14.225166253745556,14.103690370660624
14232,2013-06-26,14.113761581765287,14.00742694735527,13.937597082294781
17952,2013-06-26,14.018451401960965,13.571532480418682,13.645523032503256
349,2013-06-26,13.531820506782033,13.290625281631947,13.488976350070473
19238,2013-06-26,14.603967918328545,14.202227585017681,14.271506395209224
19256,2013-06-26,13.487006490992238,13.417108610272408,13.279380012460594
2832,2013-06-26,13.710150042306447,13.588933169841766,13.663081496493989
12008,2013-06-26,14.403297222866392,14.458285726606846,14.376481588820457
22489,2013-06-26,13.038981768465275,12.892734602093697,13.002415143650103
4805,2013-06-26,14.368245584807475,14.503758557140827,14.556692763424984
18390,2013-06-26,14.077874822431765,13.722500249743462,13.969348801995887
18629,2013-06-26,13.737549016494564,13.527993336319923,13.445943805671057
2253,2013-06-27,14.51612975336292,14.040835492312908,13.894493860223008
15348,2013-06-27,13.816510058297355,13.854046754539013,13.742427396902112
21286,2013-06-27,13.487006490992238,13.275811575353146,13.326008508135352
20250,2013-06-27,13.687677186454387,13.812583290040493,13.719090704367293
5781,2013-06-27,13.955272500339431,14.263028427958488,13.920235843592444
8660,2013-06-27,12.971540487669744,13.151540569961071,13.277575503749762
1292,2013-06-27,13.331002242515655,13.4870924949646,13.534173518580292
20498,2013-06-27,13.444446876573444,13.426980383694172,13.419916037169594
541,2013-06-27,13.422467969854667,13.501261480152607,13.757968171534976
9737,2013-06-27,13.122363377404328,13.113316901028156,13.06863916813936
20960,2013-06-28,13.599714944312602,13.778539352118969,13.716224675762914
11463,2013-06-28,14.454729396498664,14.273708410561085,14.220377479551773
2639,2013-06-28,13.715690222682063,13.403241463005543,13.54359915531599
14920,2013-06-28,13.592367006650065,13.905477575957775,13.987137063679768
3771,2013-06-28,13.812506048943975,13.812706381082535,13.682110868364077
5638,2013-06-28,13.632788921148979,13.424256585538387,13.528906836675047
3755,2013-06-28,14.444119217386648,14.815573021769524,14.673085662600352
16676,2013-06-28,13.470199372675856,13.214210592210293,13.400142237743848
8735,2013-06-28,13.003579841414364,12.985186837613583,13.151362329075209
13031,2013-06-28,14.285514187210008,14.374229952692986,14.237962792824165
3351,2013-06-28,13.80747838626701,13.72474942356348,13.766544433415774
4537,2013-06-28,13.676248490630767,13.940228216350079,13.869817150771278
16389,2013-06-28,14.346138809026446,14.298158168792725,14.11014432694901
11165,2013-06-28,13.43072857175606,13.593923203647137,13.574710698870675
13482,2013-06-28,13.353475098367715,13.396353103220463,13.519864375521042
17496,2013-06-28,13.081541382884073,13.320006988942623,13.175286588424228
19574,2013-06-28,13.385496576934695,13.333593152463436,13.439614313788304
2417,2013-06-28,13.785051350479565,13.962387695908546,13.955797852859495
1228,2013-06-28,13.681979165339751,13.588684320449829,13.588353555281515
6725,2013-06-28,14.115615150414612,13.932334937155247,14.184492879243544
19123,2013-06-28,13.710150042306447,13.658586136996746,13.556005731914444
8789,2013-06-28,14.115615150414612,14.072399534285069,13.854317326783903
9731,2013-06-28,14.557447902693653,14.207495026290417,14.347526070410135
686,2013-06-28,13.779883380321126,13.96974254399538,13.718659897509927
880,2013-06-28,13.527828485512496,13.495082177221775,13.512005456757349
12840,2013-06-28,14.207552645740297,14.273354046046734,14.274714799383123
10855,2013-06-28,14.36882079333642,14.07665839791298,14.174815490652279
23585,2013-06-28,13.919870573288515,14.04773336648941,13.89249887947933
6795,2013-06-28,14.034646087880946,13.878609575331211,13.904671029784042
12828,2013-06-28,14.403297222866392,14.57131864875555,14.752957389682924
7069,2013-06-28,14.074021253115776,13.798605680465698,13.856064687480895
12482,2013-06-28,13.081541382884073,13.14939084649086,13.342564783964809
22355,2013-06-28,14.137594057133386,14.066191263496876,13.986550479374305
23586,2013-06-28,14.085537695177337,14.17812693119049,13.998808868398708
22391,2013-07-01,13.429848077152288,13.384676910936832,13.243525973244227
21352,2013-07-01,13.284482226880765,13.073960766196251,13.329128889605283
13478,2013-07-01,13.9108207377686,13.893912859261036,13.992425354938183
16438,2013-07-02,15.423947970064793,15.412677116692066,15.766650929249458
1386,2013-07-02,13.444446876573444,13.638937875628471,13.57093697622667
15916,2013-07-02,15.352377777563538,15.228107295930386,15.203767476771265
15690,2013-07-02,13.955272500339431,14.008020050823689,14.231600132921097
23268,2013-07-02,13.507625778194974,13.929644390940666,13.692672025031039
7031,2013-07-02,14.3785490531772,14.04172645509243,14.095826379732449
18037,2013-07-03,13.372343582672098,13.340171657502651,13.392607093606241
3609,2013-07-03,13.764217263576725,13.779753163456917,13.666424445267564
10923,2013-07-03,13.764217263576725,14.381848074495792,14.231780896435916
23598,2013-07-03,13.790192749979985,13.969095401465893,14.274400760376999
12902,2013-07-03,13.38472764187182,13.24037791788578,13.410562428941553
20561,2013-07-03,14.227620208791109,14.165649428963661,14.11245374307359
4773,2013-07-03,13.473020249017498,13.77712757140398,13.762921021900256
20128,2013-07-03,12.765688433465595,13.262928754091263,13.301035741674864
15651,2013-07-03,14.690979295318177,14.41077833622694,14.848324567978016
10254,2013-07-03,13.17115354157376,13.339931011199951,13.329241723613897
13983,2013-07-03,14.788181623274536,14.817345894873142,15.06633699511151
2898,2013-07-03,13.75894020647588,13.733350828289986,13.648856177939738
5540,2013-07-03,13.955272500339431,13.645991243422031,13.803069886216885
9746,2013-07-03,13.560618308335485,13.854320727288723,13.562584335778483
21575,2013-07-03,13.146079904021645,13.147431947290897,13.259422109973917
18508,2013-07-04,13.426902566922534,13.395710736513138,13.522096611427857
17143,2013-07-05,13.883169206438088,14.151150450110435,14.284548576592607
15495,2013-07-05,13.642346938955086,13.527567483484745,13.387564268169097
934,2013-07-05,13.721199878493032,13.6767712906003,13.518653440148258
14063,2013-07-05,13.332624302887526,13.279027491807938,13.417616658673493
16718,2013-07-05,14.659230597003596,14.391697034239769,14.274976112573261
5980,2013-07-05,14.078259363870846,14.246220894157887,14.19899611115546
20932,2013-07-08,13.578379637914125,13.303710110485554,13.460756793671669
11601,2013-07-08,15.529308485722618,15.179211616516113,15.533075511279973
22704,2013-07-08,13.012548511397126,13.093327768146992,12.989871922633286
9336,2013-07-09,13.487006490992238,13.531094700098038,13.543203540586253
21439,2013-07-09,13.458835614025542,13.666873641312122,13.524271069833771
10195,2013-07-09,13.878485357125662,13.900940299034119,13.919412838531983
20388,2013-07-09,13.431153107582464,13.299278847873211,13.307189385582292
172,2013-07-09,13.541073712262516,13.25515116006136,13.526933251035823
9954,2013-07-09,15.418930398072813,15.241368226706982,15.336897047246316
7914,2013-07-09,14.077874822431765,14.075183518230915,14.297461984278828
12435,2013-07-09,13.26212531977949,13.269853711128235,13.265918855424935
15464,2013-07-09,13.5985975564007,13.445765152573586,13.433605115142417
