,sale_date,neighborhood
712,2015-04-23,Outer Sunset
713,2017-04-05,Outer Sunset
714,2010-09-17,Outer Sunset
715,2018-04-17,Outer Sunset
716,2010-01-07,Outer Sunset
717,2015-11-04,Outer Sunset
718,2016-07-14,Outer Sunset
719,2017-03-29,Outer Sunset
720,2015-03-31,Outer Sunset
721,2014-04-18,Sutro Heights
722,2010-04-22,Sutro Heights
723,2018-12-19,Outer Sunset
724,2014-07-11,Sutro Heights
725,2018-06-07,Sutro Heights
726,2011-09-20,Outer Sunset
727,2018-06-29,Outer Sunset
728,2018-11-17,Outer Sunset
729,2015-09-10,Outer Sunset
730,2014-02-11,Sutro Heights
731,2017-06-28,Outer Sunset
732,2018-06-29,Sutro Heights
733,2013-10-08,Outer Sunset
734,2012-12-28,Outer Sunset
735,2015-06-26,Outer Sunset
736,2017-04-27,Outer Sunset
737,2018-10-05,Outer Sunset
738,2013-12-17,Outer Sunset
739,2016-04-29,Outer Sunset
740,2014-10-21,Outer Sunset
741,2013-10-22,Outer Sunset
742,2011-11-30,Outer Sunset
743,2014-04-15,Outer Sunset
744,2013-06-18,Outer Richmond
745,2013-10-30,Outer Sunset
746,2009-11-13,Outer Sunset
747,2010-06-16,Outer Sunset
748,2016-07-08,Outer Sunset
749,2010-02-04,Outer Sunset
750,2013-05-30,Outer Richmond
751,2010-06-16,Outer Sunset
752,2012-10-25,Outer Richmond
753,2015-11-27,Outer Sunset
754,2018-08-27,Outer Sunset
755,2014-12-18,Outer Sunset
756,2009-09-23,Outer Sunset
757,2011-12-22,Outer Sunset
758,2017-01-03,Outer Sunset
759,2015-10-01,Outer Sunset
760,2011-04-06,Outer Sunset
761,2011-12-08,Outer Sunset
762,2009-07-10,Outer Sunset
763,2014-10-09,Outer Sunset
764,2012-06-13,Outer Sunset
765,2011-09-01,Outer Sunset
766,2011-03-11,Outer Sunset
767,2012-10-30,Outer Sunset
768,2016-10-31,Outer Sunset
769,2014-12-12,Outer Sunset
770,2014-09-30,Outer Sunset
771,2012-12-10,Outer Sunset
772,2014-01-28,Outer Sunset
773,2013-06-05,Outer Sunset
774,2015-11-13,Outer Sunset
775,2014-05-16,Outer Sunset
776,2010-08-25,Outer Sunset
777,2012-02-17,Outer Sunset
778,2009-12-07,Outer Sunset
779,2009-08-21,Outer Richmond
780,2009-07-23,Outer Sunset
781,2013-07-23,Outer Sunset
782,2011-12-23,Outer Sunset
783,2013-06-12,Outer Sunset
784,2010-11-23,Outer Richmond
785,2012-04-13,Outer Richmond
786,2016-04-15,Outer Richmond
787,2018-06-04,Outer Richmond
788,2018-09-20,Outer Sunset
789,2009-01-07,Outer Richmond
790,2016-10-21,Outer Sunset
791,2014-08-15,Outer Richmond
792,2015-07-24,Outer Sunset
793,2012-03-01,Outer Richmond
794,2018-05-18,Outer Richmond
795,2018-03-19,Outer Sunset
796,2014-05-13,Outer Sunset
797,2017-04-25,Outer Sunset
798,2015-03-06,Outer Sunset
799,2011-10-05,Outer Sunset
800,2009-11-18,Outer Sunset
